No.	User	Edit count
742	Riccardobot	521
743	Kal-El-Bot	515
744	Luuvabot	508
745	UncatTemplateBot	505
746	Botx	496
747	Naudefjbot	474
748	DrTrigonBot	471
749	DrFO.Tn.Bot	441
750	Selmobot	437
751	DavidWSBot	435
752	HujiBot	433
753	BenjBot	432
754	BoricuaBot	430
755	DefconBot	429
756	ListManBot	427
757	AHbot	425
758	AsgardBot	425
759	Manubot	417
760	Sumibot	413
761	Madhubot	391
762	JJBot	389
763	RSElectionBot	387
764	FritzpollBot	380
765	KaldariBot	378
766	NilfaBot	370
767	MalarzBOT	367
768	Simplebot	362
769	AloysiusLiliusBot	358
770	EddieBot	355
771	PALZ9000	340
772	OrophinBot	338
773	AZatBot	330
774	Denbot	329
775	Milk's Favorite Bot II	329
776	Pfft Bot	325
777	SVGBot	320
778	VeinorBot	320
779	AswnBot	314
780	Rtz-bot	309
781	QOTDBot	307
782	MrVanBot	306
783	PaievBot	303
784	IcalaniseBot	282
785	QualiaBot	280
786	KuduBot	259
787	DeliveryBot	258
788	LSG1-Bot	253
789	Egmontbot	249
790	PCbot	247
791	APersonBot	242
792	XeBot	237
793	JMuniBot	232
794	BücherBot	226
795	SusBot	224
796	Botryoidal	223
797	MichaelBillingtonBot	211
798	The Anonybot	209
799	ReigneBOT	201
800	ChzzBot III	193
801	HMBot	192
802	Kgsbot	189
803	DottyQuoteBot	178
804	OpenlibraryBot	173
805	SandgemBot	158
806	Kaspobot	157
807	Kumar Appaiah Bot	148
808	MauchoBot	142
809	WMUKBot	140
810	SharafBot	137
811	Rabbot	137
812	Pattonbot	130
813	The Auto-categorizing Robot	125
814	SamuraiBot	125
815	StormBot	125
816	DusterBot	116
817	H2Bot	113
818	EagleAstroidBot	109
819	Rob110178bot	109
820	SpeedyBot	106
821	Homobot	101
822	SVnaGBot1	97
823	Lockalbot	96
824	GeorgeMoneyBot	95
825	StatsBot	93
826	Fettgesicht	90
827	CSBot	89
828	EBot III	87
829	Cherybot	86
830	TaeBot	83
831	RFC posting script	83
832	Project Messenger Bot	78
833	MotinBot	78
834	WilhelmBot	78
835	DinoSizedBot	75
836	DanielBot	72
837	DarioBot	70
838	Bersibot	68
839	Sgeo-BOT	65
840	ViskonBot	65
841	DvyBot	62
842	ArbComBot	61
843	JerryBot	59
844	UltraBot	56
845	Z-BOT	55
846	YekratsBot	53
847	EberBot	51
